Date,index,Store,Dept,Weekly_Sales,IsHoliday_x,rolling_12w,rolling_std_12w,week_of_year,trend,seasonal,residual,Weekly_Sales_log,Weekly_Sales_diff,lag_1,lag_2,lag_3,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_12,rolling_std_12,month,quarter,year,IsHoliday_y,IsHoliday
2010-02-05,0,1,1,24924.5,False,,,5,,-246.87884707840067,,10.123646654809376,,,,,,,,,,2,1,2010,False,False
2010-02-12,1,1,1,46039.49,True,,,6,,14604.252018306212,,10.737276505698384,21114.99,24924.5,,,,,,,,2,1,2010,True,True
2010-02-19,2,1,1,41595.55,False,,,7,,27608.95466253698,,10.635772510117942,-4443.939999999995,46039.49,24924.5,,,,,,,2,1,2010,False,False
2010-02-26,3,1,1,19403.54,False,,,8,,-3110.0202413091706,,9.873262338291422,-22192.01,41595.55,46039.49,24924.5,,32990.770000000004,12832.106390776224,,,2,1,2010,False,False
2010-03-05,4,1,1,21827.9,False,,,9,,-2638.2011547707084,,9.990990058901978,2424.3600000000006,19403.54,41595.55,46039.49,24924.5,32216.620000000003,13554.047185331767,,,3,1,2010,False,False
2010-03-12,5,1,1,21043.39,False,,,10,,-1651.00774130917,,9.954389295277336,-784.510000000002,21827.9,19403.54,41595.55,46039.49,25967.595,10467.484019573822,,,3,1,2010,False,False
2010-03-19,6,1,1,22136.64,False,,,11,,-1512.5609143860952,,10.005034606181765,1093.25,21043.39,21827.9,19403.54,41595.55,21102.8675,1222.7849678875025,,,3,1,2010,False,False
2010-03-26,7,1,1,26229.21,False,,,12,,-1375.4032701553265,,10.174667078928756,4092.57,22136.64,21043.39,21827.9,19403.54,22809.285,2325.9292029136736,,,3,1,2010,False,False
2010-04-02,8,1,1,57258.43,False,,,13,,1805.7553836908296,,10.955347624009477,31029.22,26229.21,22136.64,21043.39,21827.9,31666.917499999996,17206.39126084137,,,4,2,2010,False,False
2010-04-09,9,1,1,42960.91,False,,,14,,17875.87932599852,,10.668069188157189,-14297.519999999997,57258.43,26229.21,22136.64,21043.39,37146.2975,16153.226818736814,,,4,2,2010,False,False
2010-04-16,10,1,1,17596.96,False,,,15,,8893.608027921595,,9.775538265217357,-25363.950000000004,42960.91,57258.43,26229.21,22136.64,36011.3775,17649.502493164644,,,4,2,2010,False,False
2010-04-23,11,1,1,16145.35,False,29763.489166666663,13514.119640804278,16,,10940.356970229288,,9.689449296915605,-1451.6099999999988,17596.96,42960.91,57258.43,26229.21,33490.4125,20067.0709063088,29763.489166666666,13514.119640804278,4,2,2010,False,False
2010-04-30,12,1,1,16555.11,False,29066.04,13994.00510056165,17,,6187.716825998517,,9.714510496963488,409.7600000000002,16145.35,17596.96,42960.91,57258.43,23314.582500000004,13111.798178321125,29066.039999999997,13994.00510056165,4,2,2010,False,False
2010-05-07,13,1,1,17413.94,False,26680.5775,13258.075479909065,18,,-2316.716924001483,,9.765083737488396,858.8299999999981,16555.11,16145.35,17596.96,42960.91,16927.84,691.6726194283689,26680.5775,13258.075479909063,5,2,2010,False,False
2010-05-14,14,1,1,18926.74,False,24791.51,12534.987031964138,19,,-5265.78894323225,,9.848383849860088,1512.800000000003,17413.94,16555.11,16145.35,17596.96,17260.285,1230.3162142176702,24791.51,12534.987031964138,5,2,2010,False,False
2010-05-21,15,1,1,14773.04,False,24405.635,12784.712550681556,20,,-7351.062500924556,,9.600626865544069,-4153.700000000001,18926.74,17413.94,16555.11,16145.35,16917.2075,1733.3525235484854,24405.635,12784.712550681557,5,2,2010,False,False
2010-05-28,16,1,1,15580.43,False,23885.0125,13024.189303511808,21,,-6761.519231693786,,9.65383509955171,807.3899999999994,14773.04,18926.74,17413.94,16555.11,16673.5375,1864.7512901256403,23885.0125,13024.189303511808,5,2,2010,False,False
2010-06-04,17,1,1,17558.09,False,23594.57083333333,13131.736126646125,22,,-6115.766250924555,,9.773327043522825,1977.66,15580.43,14773.04,18926.74,17413.94,16709.575,1885.1113653840825,23594.570833333335,13131.736126646123,6,2,2010,False,False
2010-06-11,18,1,1,16637.62,False,23136.319166666668,13282.322832865602,23,,-6710.4750970784025,,9.719481778243786,-920.4700000000012,17558.09,15580.43,14773.04,18926.74,16137.295,1216.5900255633549,23136.319166666668,13282.322832865602,6,2,2010,False,False
2010-06-18,19,1,1,16216.27,False,22301.9075,13384.479787526045,24,,-7641.563174001478,,9.693832002776068,-421.34999999999854,16637.62,17558.09,15580.43,14773.04,16498.1025,829.5763995911253,22301.9075,13384.479787526045,6,2,2010,False,False
2010-06-25,20,1,1,16328.72,False,18891.09833333333,7655.683358666338,25,,-6857.205577847635,,9.700742039461112,112.44999999999892,16216.27,16637.62,17558.09,15580.43,16685.175,608.5978807337175,18891.098333333335,7655.683358666338,6,2,2010,False,False
2010-07-02,21,1,1,16333.14,False,16672.1175,1078.937628647493,26,,-7129.244616309168,,9.70101267496022,4.420000000000073,16328.72,16216.27,16637.62,17558.09,16378.9375,180.73605033835474,16672.1175,1078.937628647493,7,3,2010,False,False
2010-07-09,22,1,1,17688.76,False,16679.7675,1086.3908774480687,27,,-6390.1222124630185,,9.7807412200748,1355.619999999999,16333.14,16328.72,16216.27,16637.62,16641.7225,700.1169141592744,16679.7675,1086.3908774480687,7,3,2010,False,False
2010-07-16,23,1,1,17150.84,False,16763.558333333334,1080.183187981132,28,,-6885.278270155322,,9.74986073546881,-537.9199999999983,17688.76,16333.14,16328.72,16216.27,16875.364999999998,665.9145611614922,16763.558333333334,1080.183187981132,7,3,2010,False,False
2010-07-23,24,1,1,15360.45,False,16664.00333333333,1153.6929174953357,29,,-6778.896827847631,,9.639616403287832,-1790.3899999999994,17150.84,17688.76,16333.14,16328.72,16633.2975,1015.2317652102436,16664.00333333333,1153.6929174953357,7,3,2010,False,False
2010-07-30,25,1,1,15381.82,False,16494.66,1182.3914114432064,30,,-6632.13115477071,,9.641006581258662,21.36999999999898,15360.45,17150.84,17688.76,16333.14,16395.4675,1203.0427512320214,16494.66,1182.3914114432064,7,3,2010,False,False
2010-08-06,26,1,1,17508.41,False,16376.465833333334,968.7659231344932,31,22958.96057692308,-6365.020145155324,914.4695682322472,9.770493729680796,2126.59,15381.82,15360.45,17150.84,17688.76,16350.380000000001,1140.1519739345772,16376.465833333334,968.7659231344933,8,3,2010,False,False
2010-08-13,27,1,1,15536.4,False,16440.079166666666,874.3703126090694,32,22849.238846153847,-7678.592597078403,365.7537509245558,9.65100529975642,-1972.01,17508.41,15381.82,15360.45,17150.84,15946.77,1044.0406555622822,16440.079166666666,874.3703126090694,8,3,2010,False,False
2010-08-20,28,1,1,15740.13,False,16453.3875,861.2129229188245,33,22821.335,-7518.413895155325,437.2088951553251,9.664032311008222,203.7299999999996,15536.4,17508.41,15381.82,15360.45,16041.689999999999,988.7622553814031,16453.3875,861.2129229188245,8,3,2010,False,False
2010-08-27,29,1,1,15793.87,False,16306.369166666664,804.1815557047535,34,22871.43701923077,-7630.869424001477,553.3024047707095,9.66744048274964,53.7400000000016,15740.13,15536.4,17508.41,15381.82,16144.7025,915.8770710591663,16306.369166666665,804.1815557047535,8,3,2010,False,False
2010-09-03,30,1,1,16241.78,False,16273.3825,797.44905358081,35,22856.62932692308,-7032.184664386094,417.3353374630169,9.695403781331668,447.9099999999999,15793.87,15740.13,15536.4,17508.41,15828.044999999998,297.2823764822311,16273.3825,797.44905358081,9,3,2010,False,False
2010-09-10,31,1,1,18194.74,True,16438.255,970.3482239850916,36,22844.482403846152,-4813.219904770707,163.4775009245568,9.808942779733115,1952.960000000001,16241.78,15793.87,15740.13,15536.4,16492.63,1156.809687920581,16438.255,970.3482239850917,9,3,2010,True,True
2010-09-17,32,1,1,19354.23,False,16690.380833333333,1282.2365222210522,37,22829.43048076923,-3840.646635539941,365.4461547707092,9.87071794617545,1159.489999999998,18194.74,16241.78,15793.87,15740.13,17396.155,1670.498385682217,16690.380833333333,1282.2365222210522,9,3,2010,False,False
2010-09-24,33,1,1,18122.52,False,16839.495833333334,1339.6747797029268,38,22760.67548076924,-4775.883606693787,137.72812592455375,9.804965821216497,-1231.7099999999991,19354.23,18194.74,16241.78,15793.87,17978.3175,1287.9351376105417,16839.495833333334,1339.6747797029268,9,3,2010,False,False
2010-10-01,34,1,1,20094.19,False,17039.948333333334,1627.3688665441175,39,22354.825,-3394.9591836168643,1134.3241836168622,9.908235761926932,1971.6699999999985,18122.52,19354.23,18194.74,16241.78,18941.420000000002,953.4881578360282,17039.948333333334,1627.3688665441177,10,4,2010,False,False
2010-10-08,35,1,1,23388.03,False,17559.71416666667,2452.745944163083,40,21816.868653846155,-452.34706823225,2023.5084143860936,10.060022388004311,3293.84,20094.19,18122.52,19354.23,18194.74,20239.7425,2250.900798574918,17559.71416666667,2452.745944163083,10,4,2010,False,False
2010-10-15,36,1,1,26978.34,False,18527.871666666662,3552.22582856757,41,21740.69836538462,2330.300335613903,2907.341299001479,10.202826666897671,3590.3100000000013,23388.03,20094.19,18122.52,19354.23,22145.77,3885.5486001078666,18527.871666666666,3552.22582856757,10,4,2010,False,False
2010-10-22,37,1,1,25543.04,False,19374.64,3925.5820418494695,42,22178.490384615387,1663.6306721523663,1700.9189432322478,10.148159300318854,-1435.2999999999993,26978.34,23388.03,20094.19,18122.52,24000.9,2993.400373833556,19374.64,3925.5820418494695,10,4,2010,False,False
2010-10-29,38,1,1,38640.93,False,21135.68333333333,6742.025393879447,43,22748.89653846154,12323.628893306211,3568.4045682322467,10.562093235319248,13097.89,25543.04,26978.34,23388.03,20094.19,28637.585,6830.179148799844,21135.683333333334,6742.025393879447,10,4,2010,False,False
2010-11-05,39,1,1,34238.88,False,22694.22333333333,7454.084886142927,44,23015.06509615385,14277.96278753698,-3054.14788369083,10.44114632557664,-4402.050000000003,38640.93,25543.04,26978.34,23388.03,31350.2975,6173.4777654758855,22694.22333333333,7454.084886142927,11,4,2010,False,False
2010-11-12,40,1,1,19549.39,False,23011.661666666667,7208.067158955673,45,23024.99451923077,-3660.0949047707095,184.4903855399375,9.88075051406364,-14689.489999999998,34238.88,38640.93,25543.04,26978.34,29493.059999999998,8576.820780036553,23011.661666666667,7208.067158955673,11,4,2010,False,False
2010-11-19,41,1,1,19552.84,False,23324.909166666668,6942.674338476188,46,23012.22673076923,-3492.1474528476324,32.76072207840161,9.88092696556308,3.450000000000728,19549.39,34238.88,38640.93,25543.04,27995.51,9914.976142459118,23324.909166666668,6942.674338476188,11,4,2010,False,False
2010-11-26,42,1,1,18820.29,True,23539.785,6740.480238026622,47,23017.273942307693,-2952.780674001477,-1244.2032683062148,9.84274395489235,-732.5499999999993,19552.84,19549.39,34238.88,38640.93,23040.35,7473.631609113036,23539.785,6740.480238026622,11,4,2010,True,True
2010-12-03,43,1,1,22517.56,False,23900.02,6541.427555256794,48,23008.01653846154,1087.5006721523691,-1577.9572106139071,10.022095137047542,3697.27,18820.29,19552.84,19549.39,34238.88,20110.02,1641.585399728022,23900.02,6541.427555256794,12,4,2010,False,False
2010-12-10,44,1,1,31497.65,False,24911.971666666668,6711.3488676215,49,22989.958461538463,9585.992499075444,-1078.3009606139058,10.357699966752474,8980.09,22517.56,18820.29,19552.84,19549.39,23097.085,5824.03038101338,24911.971666666668,6711.3488676215,12,4,2010,False,False
2010-12-17,45,1,1,44912.86,False,27144.5,8472.37718562775,50,22970.801923076924,22515.753797152367,-573.6957202292906,10.712501712065452,13415.21,31497.65,22517.56,18820.29,19552.84,29437.090000000004,11609.50332367698,27144.5,8472.37718562775,12,4,2010,False,False
2010-12-24,46,1,1,55931.23,False,30130.92,11526.796554633436,51,22952.685673076925,28524.87937407544,4453.664952847634,10.931896058288451,11018.370000000004,44912.86,31497.65,22517.56,18820.29,38714.825,14711.211681867,30130.92,11526.796554633436,12,4,2010,False,False
2010-12-31,47,1,1,19124.58,True,29775.632500000003,11815.61228776504,52,22937.15153846154,-1595.9112509245574,-2216.660287536982,9.858781985032277,-36806.65,55931.23,44912.86,31497.65,22517.56,37866.58,15997.994403526547,29775.632500000003,11815.612287765041,12,4,2010,True,True
2011-01-07,48,1,1,15984.24,False,28859.4575,12460.850595779151,1,22913.02144230769,-6555.389183616866,-373.3922586908284,9.679421075456927,-3140.340000000002,19124.58,55931.23,44912.86,31497.65,33988.2275,19544.09149316382,28859.4575,12460.850595779153,1,1,2011,False,False
2011-01-14,49,1,1,17359.7,False,28177.5125,12875.861782285863,2,22883.83028846154,-5702.140481693787,178.01019323224682,9.761964309982051,1375.460000000001,15984.24,19124.58,55931.23,44912.86,27099.9375,19263.789104096104,28177.5125,12875.861782285865,1,1,2011,False,False
2011-01-21,50,1,1,17341.47,False,26402.557500000006,12769.982954569768,3,22873.351057692307,-4977.84274130917,-554.0383163831357,9.760913685403557,-18.229999999999563,17359.7,15984.24,19124.58,55931.23,17452.4975,1287.4494753678928,26402.557500000006,12769.982954569767,1,1,2011,False,False
2011-01-28,51,1,1,18461.18,False,25087.749166666672,12701.86094487623,4,22882.45432692308,-4417.885481693786,-3.388845229292201,9.823479594258824,1119.7099999999991,17341.47,17359.7,15984.24,19124.58,17286.6475,1013.9253857944349,25087.749166666672,12701.86094487623,1,1,2011,False,False
2011-02-04,52,1,1,21665.76,False,25264.11333333333,12632.473744135745,5,22866.374807692308,-246.87884707840067,-953.7359606139084,9.983534567892692,3204.579999999998,18461.18,17341.47,17359.7,15984.24,18707.0275,2040.79867354876,25264.11333333333,12632.473744135743,2,1,2011,False,False
2011-02-11,53,1,1,37887.17,True,26791.974166666667,12982.799577862776,6,22835.51451923077,14604.252018306212,447.4034624630167,10.542394205142395,16221.41,21665.76,18461.18,17341.47,17359.7,23838.894999999997,9543.110891383025,26791.974166666667,12982.799577862777,2,1,2011,True,True
2011-02-18,54,1,1,46845.87,False,29127.439166666667,13906.316949550444,7,22815.82701923077,27608.95466253698,-3578.911681767746,10.754639476469968,8958.700000000004,37887.17,21665.76,18461.18,17341.47,31214.995,13449.781393957051,29127.439166666667,13906.316949550443,2,1,2011,False,False
2011-02-25,55,1,1,19363.83,False,28864.628333333338,14071.41166616965,8,22793.64057692308,-3110.0202413091706,-319.7903356139045,9.871213813185816,-27482.04,46845.87,37887.17,21665.76,18461.18,31440.657499999998,13169.11132389065,28864.628333333338,14071.41166616965,2,1,2011,False,False
2011-03-04,56,1,1,20327.61,False,27933.791666666668,14249.72498998862,9,22772.28471153846,-2638.2011547707084,193.52644323224783,9.91978453242069,963.7799999999988,19363.83,46845.87,37887.17,21665.76,31106.12,13512.710330514745,27933.791666666668,14249.724989988621,3,1,2011,False,False
2011-03-11,57,1,1,21280.4,False,25964.42,13290.594922240043,10,22758.702307692307,-1651.00774130917,172.7054336168644,9.965588730765232,952.7900000000008,20327.61,19363.83,46845.87,37887.17,26954.427499999998,13284.024909477734,25964.420000000002,13290.594922240045,3,1,2011,False,False
2011-03-18,58,1,1,20334.23,False,22998.003333333338,9395.999395460658,11,22746.52144230769,-1512.5609143860952,-899.7305279215993,9.920110128825677,-946.170000000002,21280.4,20327.61,19363.83,46845.87,20326.517499999998,782.4576075150825,22998.003333333338,9395.999395460658,3,1,2011,False,False
2011-03-25,59,1,1,20881.1,False,23144.38,9343.707697479922,12,22736.117884615385,-1375.4032701553265,-479.6146144600602,9.94664761165192,546.869999999999,20334.23,21280.4,20327.61,19363.83,20705.835,462.5967236156065,23144.38,9343.707697479922,3,1,2011,False,False
2011-04-01,60,1,1,20398.09,False,23512.200833333336,9120.429649242971,13,22716.69740384616,1805.7553836908296,-4124.362787536986,9.923245570994212,-483.0099999999984,20881.1,20334.23,21280.4,20327.61,20723.454999999998,444.37152732808426,23512.200833333336,9120.429649242971,4,2,2011,False,False
2011-04-08,61,1,1,23873.79,False,24055.041666666668,8912.432445399812,14,22674.899711538463,17875.87932599852,-16676.989037536983,10.08057836949873,3475.7000000000007,20398.09,20881.1,20334.23,21280.4,21371.802499999998,1685.7642301613712,24055.041666666668,8912.432445399812,4,2,2011,False,False
2011-04-15,62,1,1,28762.37,False,25006.783333333336,8738.437150395153,15,22612.483942307696,8893.608027921595,-2743.7219702292914,10.266857981604552,4888.579999999998,23873.79,20398.09,20881.1,20334.23,23478.837499999998,3843.216900526373,25006.783333333336,8738.437150395153,4,2,2011,False,False
2011-04-22,63,1,1,50510.31,False,27677.544166666663,11127.167860033933,16,22553.906730769235,10940.356970229288,17016.046299001475,10.829952550584103,21747.94,28762.37,23873.79,20398.09,20881.1,30886.139999999996,13525.170270361346,27677.544166666663,11127.167860033933,4,2,2011,False,False
2011-04-29,64,1,1,41512.39,False,29331.430000000004,11616.562864400286,17,22464.94259615385,6187.716825998517,12859.730577847631,10.633771304780687,-8997.919999999998,50510.31,28762.37,23873.79,20398.09,36164.715,12114.113981417146,29331.430000000004,11616.562864400286,4,2,2011,False,False
2011-05-06,65,1,1,20138.19,False,27852.34833333333,11557.96712401595,18,22451.34788461539,-2316.716924001483,3.559039386093445,9.910422946993064,-21374.2,41512.39,50510.31,28762.37,23873.79,35230.814999999995,13448.039039754696,27852.34833333333,11557.96712401595,5,2,2011,False,False
2011-05-13,66,1,1,17235.15,False,25384.78833333333,10217.442534225338,19,22497.37990384616,-5265.78894323225,3.5590393860929908,9.754764201413108,-2903.039999999997,20138.19,41512.39,50510.31,28762.37,32349.009999999995,16241.235994492528,25384.788333333334,10217.442534225338,5,2,2011,False,False
2011-05-20,67,1,1,15136.78,False,25032.534166666665,10512.49555578889,20,22484.283461538464,-7351.062500924556,3.5590393860929908,9.624948884800103,-2098.370000000001,17235.15,20138.19,41512.39,50510.31,23505.627499999995,12178.391076055905,25032.534166666665,10512.49555578889,5,2,2011,False,False
2011-05-27,68,1,1,15741.6,False,24650.36666666667,10779.065203244954,21,22499.560192307694,-6761.519231693786,3.5590393860929908,9.664125692573943,604.8199999999997,15136.78,17235.15,20138.19,41512.39,17062.929999999997,2231.804246747422,24650.36666666667,10779.065203244954,5,2,2011,False,False
2011-06-03,69,1,1,16434.15,False,24246.5125,11005.218084402368,22,22546.357211538463,-6115.766250924555,3.5590393860929908,9.707177612920072,692.5500000000011,15741.6,15136.78,17235.15,20138.19,16136.919999999996,903.8828699559696,24246.512499999997,11005.218084402368,6,2,2011,False,False
2011-06-10,70,1,1,15883.52,False,23875.62,11221.918609960683,23,22590.43605769231,-6710.4750970784025,3.5590393860929908,9.673100329061043,-550.630000000001,16434.15,15741.6,15136.78,17235.15,15799.012499999997,533.0382227303312,23875.62,11221.918609960685,6,2,2011,False,False
2011-06-17,71,1,1,14978.09,False,23383.7025,11491.265957330876,24,22616.094134615385,-7641.563174001478,3.5590393860929908,9.614410507562445,-905.4300000000004,15883.52,16434.15,15741.6,15136.78,15759.339999999997,600.4041634875439,23383.7025,11491.265957330876,6,2,2011,False,False
2011-06-24,72,1,1,15682.81,False,22990.7625,11681.680169846468,25,22536.45653846154,-6857.205577847635,3.5590393860929908,9.660384249082275,704.7199999999993,14978.09,15883.52,16434.15,15741.6,15744.642499999996,601.7013505814249,22990.762499999997,11681.680169846468,6,2,2011,False,False
